,payloads,length,nonprintable_keywords,special_chars,punctuation_chars,js_events,html_tags,sql_keywords,percentage_count,spaces_count,is_malicious
17965,Shakuntala Devi,15,0,0,0,0,0,0,0,1,0
17966,Gunjan Saxena,13,0,0,0,0,0,0,0,1,0
17967,Indian Premier League,21,0,0,0,0,0,0,0,2,0
17968,Coronavirus,11,0,0,0,0,0,0,0,0,0
17969,US Presidential Election,24,0,0,0,0,0,10,0,2,0
17970,Nirbhaya case,13,0,0,0,0,0,2,0,1,0
17971,Beirut explosion,16,0,0,0,0,0,0,0,1,0
17972,Joe Biden,9,0,0,0,0,0,0,0,1,0
17973,Arnab Goswami,13,0,0,0,0,0,0,0,1,0
17974,Kanika Kapoor,13,0,0,0,0,0,0,0,1,0
17975,Kim Jong-un,11,0,1,1,0,0,0,0,1,0
17976,Amitabh Bachchan,16,0,0,0,0,0,0,0,1,0
17977,Indian Premier League,21,0,0,0,0,0,0,0,2,0
17978,UEFA Champions League,21,0,0,0,0,0,0,0,2,0
17979,English Premier League,22,0,0,0,0,0,0,0,2,0
17980,French Open,11,0,0,0,0,0,1,0,1,0
17981,La Liga,7,0,0,0,0,0,15,0,1,0
17982,Money Heist,11,0,0,0,0,0,0,0,1,0
17983,Scam 1992: The Harshad Mehta Story,34,0,1,1,0,0,2,0,5,0
17984,Bigg Boss 14,12,0,0,0,0,0,0,0,2,0
17985,Mirzapur 2,10,0,0,0,0,0,1,0,1,0
17986,Paatal Lok,10,0,0,0,0,0,0,0,1,0
17987,What is coronavirus,19,0,0,0,0,0,13,0,2,0
17988,What is binod,13,0,0,0,0,0,13,0,2,0
17989,What is plasma therapy,22,0,0,0,0,0,13,0,3,0
17990,What is COVID-19,16,0,1,1,0,0,13,0,2,0
17991,What is CAA,11,0,0,0,0,0,13,0,2,0
17992,Ghosting,8,0,0,0,0,0,0,0,0,0
17993,Gabut,5,0,0,0,0,0,0,0,0,0
17994,Lockdown,8,0,0,0,0,0,0,0,0,0
17995,Rebahan,7,0,0,0,0,0,0,0,0,0
17996,WFH,3,0,0,0,0,0,0,0,0,0
17997,Cara Daftar UMKM,16,0,0,0,0,0,0,0,2,0
17998,Cara Menjadi YouTuber Pemula,28,0,0,0,0,0,0,0,3,0
17999,Cara Menjadi Reseller,21,0,0,0,0,0,0,0,2,0
18000,Cara Membuat Hand Sanitizer,27,0,0,0,0,0,1,0,3,0
18001,Cara Menjadi Terkenal,21,0,0,0,0,0,0,0,2,0
18002,Kartu Pra Kerja,15,0,0,0,0,0,0,0,2,0
18003,Daftar UMKM Online,18,0,0,0,0,0,0,0,2,0
18004,Stimulus PLN,12,0,0,0,0,0,0,0,1,0
18005,Omnibus Law,11,0,0,0,0,0,0,0,1,0
18006,Sunda Empire,12,0,0,0,0,0,0,0,1,0
18007,Tilik,5,0,0,0,0,0,0,0,0,0
18008,Crash Landing on You,20,0,0,0,0,0,57,0,3,0
18009,Milea,5,0,0,0,0,0,0,0,0,0
18010,The World of The Married,24,0,0,0,0,0,6,0,4,0
18011,Mariposa,8,0,0,0,0,0,0,0,0,0
18012,Glenn Fredly,12,0,0,0,0,0,0,0,1,0
18013,Didi Kempot,11,0,0,0,0,0,0,0,1,0
18014,Omas,4,0,0,0,0,0,0,0,0,0
18015,Kobe Bryant,11,0,0,0,0,0,0,0,1,0
18016,Chadwick Boseman,16,0,0,0,0,0,0,0,1,0
